Ven,Opp,WinMar,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Rtg,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,DET,6,1,43.19,11,31,0.355,2,11,0.182,7,8,0.875,2,5,7,10,5,0,3,4,31,23.6,10,0.449,0.387,5,12,8.6,35.4,5.7,0,8,37.6,103,106,4.2
1,SAS,33,1,30.50,10,17,0.588,5,10,0.5,0,0,,1,5,6,2,0,2,3,1,25,18.7,32,0.735,0.735,3.6,14.7,9.7,8.8,0,6.4,15,27.1,125,101,7
1,OKC,-4,1,37.36,10,21,0.476,2,5,0.4,8,10,0.8,5,8,13,8,1,0,4,3,30,25.8,0,0.591,0.524,14.2,25.5,19.5,34.9,1.3,0,13.6,31.6,126,132,5.3
0,UTA,29,1,24.38,6,12,0.5,5,8,0.625,13,14,0.929,0,9,9,5,1,1,1,1,30,30.1,34,0.826,0.708,0,27.8,15.5,35.7,1.8,3.2,5.2,31.7,166,83,28
1,IND,17,1,37.36,14,23,0.609,8,13,0.615,2,4,0.5,1,12,13,6,1,0,4,4,38,30.6,19,0.767,0.783,3.1,28.9,17.7,27.2,1.3,0,13.9,31.8,137,100,17.7
0,MIN,7,1,42.15,13,26,0.5,6,11,0.545,13,14,0.929,0,4,4,2,1,0,1,3,45,33,3,0.7,0.615,0,10.7,5.4,11.1,1.2,0,3,37.3,138,119,12.1
1,MIL,-33,1,15.45,2,6,0.333,0,1,0,3,4,0.75,0,1,1,3,0,0,1,2,7,3.8,-31,0.451,0.333,0,8.2,3.6,32.8,0,0,11.4,24.2,93,145,-7.3
0,HOU,32,1,29.30,9,17,0.529,4,7,0.571,5,7,0.714,1,7,8,5,1,1,2,2,27,23.1,9,0.672,0.647,3.6,20.7,13,22.4,1.5,2.4,9.1,30.7,136,104,9.6
1,TOR,9,1,37.28,7,19,0.368,1,6,0.167,4,4,1,0,14,14,6,1,1,1,2,19,16.8,8,0.458,0.395,0,31.5,17.1,32,1.3,2,4.6,26.6,100,91,4.7
0,SAS,19,1,31.33,9,21,0.429,3,8,0.375,3,5,0.6,0,5,5,2,0,0,2,2,24,12.2,11,0.517,0.5,0,14.4,8,10.7,0,0,7.9,34.7,104,106,-3.2
0,DEN,-2,1,38.55,9,24,0.375,1,8,0.125,3,3,1,2,6,8,5,1,0,0,1,22,16.1,6,0.434,0.396,5,20.6,11.6,22.9,1.5,0,0,32.1,107,121,2.8
1,HOU,9,1,35.07,4,17,0.235,1,6,0.167,9,12,0.75,1,6,7,3,1,0,2,0,18,10.1,-4,0.404,0.265,2.5,16.4,9.2,10.9,1.3,0,8.2,27.2,93,107,-6.8
1,DAL,9,1,40.55,11,21,0.524,2,8,0.25,15,19,0.789,0,11,11,5,3,2,0,4,39,36.7,27,0.664,0.571,0,26.3,14,20.9,3.5,4.1,0,32.1,140,101,15.5
1,MIA,33,1,32.12,7,15,0.467,3,7,0.429,9,10,0.9,1,7,8,4,0,0,1,1,26,22.1,22,0.67,0.567,5.7,20.1,15.3,14.7,0,0,4.9,30.5,145,122,-0.9
0,LAC,-19,1,30.02,8,18,0.444,2,4,0.5,3,3,1,3,8,11,1,0,1,3,2,21,13.7,-32,0.543,0.5,7.9,26.1,16,6.9,0,2.6,13.4,30.2,102,115,2.6
0,NOP,6,1,37.30,10,18,0.556,2,8,0.25,6,7,0.857,0,10,10,8,3,1,7,1,28,23.9,9,0.664,0.611,0,29.8,16,33.9,3.9,2.3,24.9,34.3,109,106,7.4
0,IND,5,1,38.50,12,19,0.632,4,9,0.444,2,3,0.667,0,7,7,7,1,2,2,2,30,27.7,-4,0.738,0.737,0,16.6,9.6,26.9,1.3,3.6,9,25.9,142,124,10.6
0,LAL,-9,1,36.37,8,21,0.381,5,10,0.5,2,2,1,2,5,7,3,1,1,2,3,23,15,-12,0.526,0.5,5.1,11.9,8.7,12.9,1.4,2.3,8.4,27.2,106,119,1.4
0,MEM,40,1,30.48,12,22,0.545,6,12,0.5,4,4,1,1,7,8,7,1,0,2,1,34,29.7,27,0.715,0.682,3.3,19.5,12.1,37.2,1.6,0,7.8,34.3,149,93,19
0,ATL,8,1,35.36,8,21,0.381,2,13,0.154,2,2,1,0,9,9,7,1,0,3,3,20,12.9,3,0.457,0.429,0,23.3,12.9,24.7,1.3,0,12.1,30,94,112,-5.4
0,WAS,4,1,38.04,12,22,0.545,3,10,0.3,8,9,0.889,1,9,10,8,1,2,2,1,35,33,9,0.674,0.614,2.9,25.2,14.3,30.7,1.2,5.3,7.2,30.1,138,117,11.8
1,MIA,4,1,38.41,11,20,0.55,2,6,0.333,2,2,1,1,9,10,9,0,2,1,1,26,26.1,5,0.623,0.6,3.4,22.3,14.3,40.8,0,4.4,4.6,27.9,135,113,11.1
1,BRK,8,1,38.59,14,26,0.538,5,11,0.455,8,8,1,0,14,14,5,2,1,2,3,41,35.6,21,0.694,0.635,0,44.2,22.7,23.9,2.6,2.7,6.3,36.6,133,106,15.9
0,BRK,50,1,28.23,7,16,0.438,2,7,0.286,4,5,0.8,1,6,7,9,0,0,1,0,20,19,27,0.549,0.5,4.8,21.6,14.4,37.9,0,0,5.2,31.1,138,98,6.6
1,CHI,17,1,34.55,8,17,0.471,5,10,0.5,4,6,0.667,0,7,7,5,3,0,3,3,25,19.9,13,0.636,0.618,0,21.9,11.9,20.2,4.2,0,13.3,29.6,117,110,3
1,NYK,14,1,43.22,7,15,0.467,2,8,0.25,3,4,0.75,1,5,6,6,2,1,4,3,19,14.8,15,0.567,0.533,3.2,13.8,8.9,17.4,2.7,2.5,19.3,24.6,111,122,-2
0,PHI,18,1,34.45,9,20,0.45,1,7,0.143,10,11,0.909,0,11,11,8,0,1,1,1,29,26.4,27,0.584,0.475,0,27.6,18.1,41.6,0,2.7,3.9,34.2,136,105,9.6
0,DAL,28,1,37.10,10,19,0.526,5,9,0.556,7,7,1,0,8,8,3,0,0,4,2,32,22.4,17,0.725,0.658,0,21.5,11.6,9.9,0,0,15.3,31,124,115,1.6
0,GSW,52,1,25.12,9,13,0.692,4,5,0.8,5,5,1,0,3,3,5,1,1,0,2,27,26.8,40,0.888,0.846,0,10.2,5.9,26.6,1.9,3.7,0,26.8,183,88,22.8
1,CLE,-1,1,37.31,8,21,0.381,5,9,0.556,5,6,0.833,2,11,13,2,0,0,2,3,26,17,-7,0.55,0.5,5.3,29.9,17.5,8.9,0,0,7.8,29.5,113,115,1.9
1,DEN,-6,1,38.39,5,13,0.385,2,5,0.4,3,4,0.75,1,3,4,8,2,0,5,4,15,10.1,-2,0.508,0.462,2.5,8.9,5.4,28.6,2.5,0,25.3,21.5,95,117,0.2
1,PHO,10,1,42.16,11,28,0.393,5,9,0.556,2,2,1,3,7,10,7,1,0,4,0,29,19.9,4,0.502,0.482,7.7,19.9,13.5,23.7,1.2,0,12.2,33.4,107,113,2.4
1,POR,22,1,35.40,9,23,0.391,2,8,0.25,6,8,0.75,0,5,5,8,0,0,1,0,26,18.8,16,0.49,0.435,0,16.8,8.1,29.2,0,0,3.6,34.2,118,116,-0.2
1,UTA,16,1,34.00,13,25,0.52,4,10,0.4,8,8,1,2,4,6,2,0,1,3,3,38,26.2,8,0.666,0.6,6.6,13.8,10.1,11.5,0,2.6,9.5,41.1,131,122,5.1
0,PHO,15,1,33.05,10,18,0.556,4,8,0.5,2,3,0.667,1,4,5,5,0,0,3,3,26,18.2,26,0.673,0.667,3.8,12.6,8.6,22.3,0,0,13.4,31.8,123,126,-0.5
1,WAS,26,1,26.36,8,17,0.471,6,12,0.5,8,10,0.8,0,6,6,6,3,1,2,1,30,27.8,26,0.701,0.647,0,26.4,13,37.9,5.5,3.3,8.5,37.9,142,95,20.3
0,MIL,3,1,39.20,9,19,0.474,4,7,0.571,9,10,0.9,0,8,8,4,3,2,2,2,31,27.7,2,0.662,0.579,0,27.9,12.5,16.8,3.9,5,7.9,29,132,117,10.4
1,CHI,11,1,37.24,8,20,0.4,2,7,0.286,8,9,0.889,1,1,2,6,1,1,5,1,26,16.3,5,0.543,0.45,3.4,4,3.7,22.8,1.4,2.2,17.3,35.2,110,124,-4.2
1,ATL,-2,1,39.23,13,26,0.5,2,7,0.286,9,11,0.818,2,6,8,5,2,1,2,1,37,30.2,3,0.6,0.538,5.9,17.8,11.9,19.6,2.6,2.4,6.1,36.3,129,126,9.4
1,ATL,-1,1,45.14,9,22,0.409,2,7,0.286,11,13,0.846,3,10,13,6,0,0,2,3,31,24.5,-11,0.559,0.455,7.8,23,15.9,20.4,0,0,6.7,30.2,121,122,1.3
1,NOP,12,1,35.30,10,17,0.588,3,6,0.5,0,0,,1,8,9,4,0,0,4,1,23,16.6,8,0.676,0.676,3.5,20.4,13.2,21.2,0,0,19,28.6,109,106,3.2
1,CHO,14,1,34.23,9,19,0.474,4,10,0.4,3,3,1,0,10,10,4,2,1,4,2,25,19,14,0.615,0.579,0,29.1,15.3,18.3,3,2.6,16.4,32,108,103,5.1
0,OKC,35,1,28.54,7,15,0.467,2,5,0.4,8,8,1,3,4,7,3,1,0,0,2,24,21.9,14,0.648,0.533,13.5,16.6,15.1,13,1.7,0,0,27.9,154,105,7.3
0,SAC,1,1,32.30,5,15,0.333,1,6,0.167,6,8,0.75,0,6,6,5,0,0,3,0,17,10,14,0.459,0.367,0,16.4,8.4,24.1,0,0,13.9,30.6,92,113,-3.5
1,MIL,-13,1,37.26,9,19,0.474,4,9,0.444,0,0,,0,5,5,6,0,1,2,1,22,16.3,-11,0.579,0.579,0,17.8,7.4,30.2,0,2.8,9.5,25.6,112,122,5.1
0,NYK,-9,1,31.48,5,13,0.385,1,7,0.143,7,9,0.778,1,3,4,7,2,1,2,3,18,16.1,-30,0.531,0.423,3.4,10.5,6.9,32.6,3.2,2.4,10.5,27.2,118,124,3.5
0,NYK,23,1,30.18,14,18,0.778,8,11,0.727,1,2,0.5,0,4,4,10,1,1,1,1,37,38.1,26,0.98,1,0,18.6,8.6,61.3,1.8,3.3,5,30.7,192,119,35.9
1,WAS,20,1,28.39,9,20,0.45,3,11,0.273,4,7,0.571,2,9,11,6,1,0,1,1,25,21.3,14,0.542,0.525,8,32.1,20.7,37.3,1.6,0,4.2,34.8,126,96,10.1
1,DET,6,1,38.08,12,26,0.462,6,13,0.462,7,9,0.778,1,3,4,2,2,1,1,5,37,25.5,1,0.617,0.577,2.6,11.4,6.2,11,2.6,2.6,3.2,34.4,130,121,6.4
0,MIL,11,1,36.25,6,16,0.375,1,8,0.125,2,2,1,0,8,8,4,2,1,3,5,15,9.1,18,0.444,0.406,0,25.1,13,15,2.6,2.6,15.1,24,85,99,-4.7
1,IND,-3,1,43.22,10,25,0.4,5,18,0.278,12,15,0.8,1,7,8,4,4,0,3,3,37,27.7,-7,0.585,0.5,2.1,17.5,9.1,15.4,4.3,0,8.7,30.9,122,113,8.2
1,CHO,15,1,35.38,9,19,0.474,3,9,0.333,11,13,0.846,1,10,11,3,3,1,5,1,32,25.6,16,0.647,0.553,3.3,32.1,17.9,14,4.2,3.1,16.8,35.9,117,103,7.4
1,CHO,10,1,33.44,7,15,0.467,1,9,0.111,14,17,0.824,0,7,7,3,0,0,5,3,29,18.1,4,0.645,0.5,0,23.2,12.8,16.4,0,0,18.2,35.8,114,108,-0.1
1,ATL,30,1,30.29,10,21,0.476,6,14,0.429,2,3,0.667,0,6,6,9,2,0,1,0,28,26,27,0.627,0.619,0,20.1,10.2,43.9,3,0,4.3,31.2,137,90,17.7
0,GSW,-6,1,36.45,10,20,0.5,5,10,0.5,7,9,0.778,0,4,4,2,1,1,4,3,32,20.3,-5,0.668,0.625,0,10.7,5.2,10.5,1.4,2.3,14.3,32.8,116,123,5.9
0,BRK,4,1,42.21,11,25,0.44,5,13,0.385,6,7,0.857,0,9,9,6,2,1,3,3,33,24.9,10,0.588,0.54,0,24,12.5,29.8,2.4,2,9.7,34.9,109,96,10.1
1,MIL,6,1,40.12,7,21,0.333,4,12,0.333,13,15,0.867,0,12,12,6,0,0,5,3,31,19.9,9,0.562,0.429,0,36.7,17.3,26.9,0,0,15.3,35.4,105,110,1.4
0,ATL,-1,1,37.26,5,16,0.313,2,9,0.222,8,8,1,0,6,6,8,1,2,5,3,20,14.4,4,0.512,0.375,0,16.4,9.9,32.5,1.3,3.8,20.4,29.4,103,116,-2.8
1,BRK,25,1,35.23,12,19,0.632,5,6,0.833,7,9,0.778,1,8,9,10,0,0,1,3,36,34.6,24,0.784,0.763,3.2,30.1,15.5,40.2,0,0,4.2,29.1,167,123,15.8
0,TOR,3,1,41.39,7,19,0.368,5,12,0.417,5,5,1,0,11,11,9,0,0,2,3,24,19.9,1,0.566,0.5,0,32.6,15.9,32.6,0,0,8.6,25.4,129,122,4.2
0,CLE,3,1,37.38,11,22,0.5,6,10,0.6,5,7,0.714,0,12,12,7,2,0,4,3,33,26.5,2,0.658,0.636,0,34,18.4,29.8,2.7,0,13.8,35.3,122,116,9.7
1,WAS,12,1,37.14,6,19,0.316,0,10,0,4,6,0.667,1,8,9,8,2,0,3,2,16,11.2,20,0.37,0.316,2.7,24,12.8,36.5,2.5,0,12.2,28.6,86,94,-3.4
0,MIN,2,1,38.25,8,21,0.381,5,12,0.417,5,6,0.833,0,8,8,4,2,0,1,4,26,18.7,7,0.55,0.5,0,23.2,11.2,18.5,2.8,0,4.1,30.6,113,112,3.9
0,LAC,32,1,30.26,7,15,0.467,2,6,0.333,4,6,0.667,1,8,9,4,0,2,3,1,20,15.4,15,0.567,0.533,3.8,25.8,15.6,18.6,0,4.9,14.5,30.2,107,96,-0.8
1,CHI,9,1,35.43,12,18,0.667,4,8,0.5,7,10,0.7,1,13,14,5,1,1,3,0,35,32.8,13,0.781,0.778,2.7,38.8,20,20.4,1.3,3.2,11.8,29.1,145,121,13.5
1,CLE,-4,1,37.48,12,27,0.444,4,9,0.444,5,5,1,0,8,8,4,1,1,2,2,33,23,1,0.565,0.519,0,24.2,11.3,22.3,1.3,2.9,6.4,34.6,115,114,7.6
0,MIA,19,1,36.06,7,21,0.333,3,12,0.25,1,1,1,1,10,11,4,1,0,6,2,18,6.8,13,0.42,0.405,2.8,26.1,14.9,17.9,1.4,0,21.9,32.7,78,92,-8.7
0,MIL,6,1,37.03,12,20,0.6,4,10,0.4,6,8,0.75,1,9,10,5,0,0,1,4,34,28.3,14,0.723,0.7,2.8,25.3,14.1,26.5,0,0,4.1,31.8,142,113,11.9
0,MEM,-6,1,37.44,6,21,0.286,1,10,0.1,4,5,0.8,1,12,13,9,0,0,1,2,17,13.1,-3,0.366,0.31,2.3,32.5,16.1,33.3,0,0,4.1,23.6,99,119,-0.8
1,WAS,14,1,34.53,12,26,0.462,2,9,0.222,2,2,1,1,11,12,2,0,0,4,4,28,14.4,4,0.521,0.5,2.8,26.6,15.4,11.7,0,0,13,35,98,97,-3.7
0,CHI,-9,1,37.03,10,22,0.455,4,11,0.364,7,9,0.778,0,10,10,4,2,0,1,4,31,24,0,0.597,0.545,0,28.8,12.8,20.7,2.6,0,3.7,31.7,121,114,8.5
