Ven,Opp,WinMar,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,OKC,6,1,33.46,11,22,0.5,6,12,0.5,5,7,0.714,0,8,8,5,0,1,1,2,33,26,22,0.658,0.636,0,20.7,11.1,28,0,2.6,3.8,36.6,128,111,11.6
0,HOU,18,1,33.42,10,22,0.455,1,9,0.111,9,9,1,0,6,6,3,1,0,1,3,30,21.3,23,0.578,0.477,0,16.8,8.5,17.3,1.4,0,3.7,33.6,122,91,7.4
0,BRK,-19,1,30.19,4,16,0.25,1,9,0.111,6,8,0.75,4,4,8,3,1,1,5,2,15,6.6,-33,0.384,0.281,11.5,15.8,13.3,17.2,1.6,3.2,20.4,34,78,126,-8.5
1,SAS,-8,1,40.04,9,23,0.391,2,7,0.286,4,5,0.8,3,9,12,2,1,0,2,3,24,15.1,-13,0.476,0.435,6.3,22.9,13.8,10.3,1.3,0,7.4,30,97,101,2.5
1,TOR,12,1,37.43,2,16,0.125,1,5,0.2,3,4,0.75,0,7,7,10,1,0,4,2,8,2.5,13,0.225,0.156,0,16.2,9.2,40.5,1.3,0,18.4,24.6,69,102,-7.1
0,PHI,1,1,36.56,9,20,0.45,3,8,0.375,5,5,1,0,16,16,2,1,0,2,2,26,20,5,0.586,0.525,0,41.6,22.6,12.2,1.4,0,8.3,31.9,107,88,9.3
1,UTA,-7,1,38.09,12,25,0.48,2,11,0.182,11,11,1,1,5,6,5,0,1,0,1,37,30.3,-5,0.62,0.52,3.1,18.5,10.2,19.7,0,4.2,0,35.2,134,141,5.4
1,POR,28,1,30.51,9,17,0.529,4,6,0.667,9,10,0.9,0,10,10,4,0,0,2,1,31,25.7,17,0.724,0.647,0,36.2,19.9,17.8,0,0,8.5,32.9,149,119,5.9
1,LAL,-15,1,33.58,13,22,0.591,5,7,0.714,3,5,0.6,2,6,8,3,1,1,5,2,34,24.2,-8,0.702,0.705,6.3,21.2,13.3,24,1.4,2.1,17.1,38.3,108,117,11.1
1,LAC,-3,1,36.28,9,20,0.45,2,7,0.286,9,10,0.9,1,9,10,2,2,1,6,4,29,18.1,-4,0.594,0.5,3.1,28.2,15.5,9,2.6,2.5,19.7,34.1,103,107,-0.3
